"storenum","lat","long","year","new","state","population"
969,30.424346,-89.089528,1995,0,"MS",2722659
969,30.424346,-89.089528,2000,0,"MS",2848310
969,30.424346,-89.089528,2005,0,"MS",2900116
970,30.5140665,-89.6621336,1990,0,"MS",2578897
970,30.5140665,-89.6621336,1995,0,"MS",2722659
970,30.5140665,-89.6621336,2000,0,"MS",2848310
970,30.5140665,-89.6621336,2005,0,"MS",2900116
971,43.5669589,-90.8889297,1990,0,"WI",4904562
971,43.5669589,-90.8889297,1995,0,"WI",5184836
971,43.5669589,-90.8889297,2000,0,"WI",5374254
971,43.5669589,-90.8889297,2005,0,"WI",5541443
972,32.8099169,-97.4219607,1990,0,"TX",17056755
972,32.8099169,-97.4219607,1995,0,"TX",18958751
972,32.8099169,-97.4219607,2000,0,"TX",20945963
972,32.8099169,-97.4219607,2005,0,"TX",22801920
973,27.422005,-80.377343,1990,0,"FL",13033307
973,27.422005,-80.377343,1995,0,"FL",14537875
973,27.422005,-80.377343,2000,0,"FL",16047118
973,27.422005,-80.377343,2005,0,"FL",17783868
974,28.0374979,-80.6478901,1990,0,"FL",13033307
974,28.0374979,-80.6478901,1995,0,"FL",14537875
974,28.0374979,-80.6478901,2000,0,"FL",16047118
974,28.0374979,-80.6478901,2005,0,"FL",17783868
975,34.0003373,-96.4132767,1990,0,"OK",3148825
975,34.0003373,-96.4132767,1995,0,"OK",3308208
975,34.0003373,-96.4132767,2000,0,"OK",3453943
975,34.0003373,-96.4132767,2005,0,"OK",3532769
976,32.1809137,-91.7266834,1990,0,"LA",4221532
976,32.1809137,-91.7266834,1995,0,"LA",4378779
976,32.1809137,-91.7266834,2000,0,"LA",4468979
976,32.1809137,-91.7266834,2005,0,"LA",4497691
977,30.6463871,-81.4550494,1990,0,"FL",13033307
977,30.6463871,-81.4550494,1995,0,"FL",14537875
977,30.6463871,-81.4550494,2000,0,"FL",16047118
977,30.6463871,-81.4550494,2005,0,"FL",17783868
978,37.091641,-97.041998,1990,0,"KS",2481349
978,37.091641,-97.041998,1995,0,"KS",2601007
978,37.091641,-97.041998,2000,0,"KS",2692810
978,37.091641,-97.041998,2005,0,"KS",2741771
979,43.940757,-90.832594,1990,0,"WI",4904562
979,43.940757,-90.832594,1995,0,"WI",5184836
979,43.940757,-90.832594,2000,0,"WI",5374254
979,43.940757,-90.832594,2005,0,"WI",5541443
980,40.3859423,-104.7158144,1990,0,"CO",3307618
980,40.3859423,-104.7158144,1995,0,"CO",3826653
980,40.3859423,-104.7158144,2000,0,"CO",4328070
980,40.3859423,-104.7158144,2005,0,"CO",4660780
981,32.3654516,-88.6946031,1990,0,"MS",2578897
981,32.3654516,-88.6946031,1995,0,"MS",2722659
981,32.3654516,-88.6946031,2000,0,"MS",2848310
981,32.3654516,-88.6946031,2005,0,"MS",2900116
982,44.095432,-93.249162,1990,0,"MN",4389857
982,44.095432,-93.249162,1995,0,"MN",4660180
982,44.095432,-93.249162,2000,0,"MN",4933958
982,44.095432,-93.249162,2005,0,"MN",5106560
983,43.652746,-94.095945,1990,0,"MN",4389857
983,43.652746,-94.095945,1995,0,"MN",4660180
983,43.652746,-94.095945,2000,0,"MN",4933958
983,43.652746,-94.095945,2005,0,"MN",5106560
984,39.404844,-104.863044,1990,0,"CO",3307618
984,39.404844,-104.863044,1995,0,"CO",3826653
984,39.404844,-104.863044,2000,0,"CO",4328070
984,39.404844,-104.863044,2005,0,"CO",4660780
985,41.006441,-91.986479,1990,0,"IA",2781018
985,41.006441,-91.986479,1995,0,"IA",2867373
985,41.006441,-91.986479,2000,0,"IA",2928184
985,41.006441,-91.986479,2005,0,"IA",2949450
986,39.586703,-106.094696,1990,0,"CO",3307618
986,39.586703,-106.094696,1995,0,"CO",3826653
986,39.586703,-106.094696,2000,0,"CO",4328070
986,39.586703,-106.094696,2005,0,"CO",4660780
987,26.527913,-81.865074,1990,0,"FL",13033307
987,26.527913,-81.865074,1995,0,"FL",14537875
987,26.527913,-81.865074,2000,0,"FL",16047118
987,26.527913,-81.865074,2005,0,"FL",17783868
988,28.190917,-82.459215,1990,0,"FL",13033307
988,28.190917,-82.459215,1995,0,"FL",14537875
988,28.190917,-82.459215,2000,0,"FL",16047118
988,28.190917,-82.459215,2005,0,"FL",17783868
989,30.0069841,-90.2251974,1990,0,"LA",4221532
989,30.0069841,-90.2251974,1995,0,"LA",4378779
989,30.0069841,-90.2251974,2000,0,"LA",4468979
989,30.0069841,-90.2251974,2005,0,"LA",4497691
990,30.6032618,-87.1167649,1990,0,"FL",13033307
990,30.6032618,-87.1167649,1995,0,"FL",14537875
990,30.6032618,-87.1167649,2000,0,"FL",16047118
990,30.6032618,-87.1167649,2005,0,"FL",17783868
991,30.6844996,-88.1249857,1990,0,"AL",4050055
991,30.6844996,-88.1249857,1995,0,"AL",4296800
991,30.6844996,-88.1249857,2000,0,"AL",4451849
991,30.6844996,-88.1249857,2005,0,"AL",4545049
992,36.046596,-95.9616288,1990,0,"OK",3148825
992,36.046596,-95.9616288,1995,0,"OK",3308208
992,36.046596,-95.9616288,2000,0,"OK",3453943
992,36.046596,-95.9616288,2005,0,"OK",3532769
993,38.367963,-97.62827,1990,0,"KS",2481349
993,38.367963,-97.62827,1995,0,"KS",2601007
993,38.367963,-97.62827,2000,0,"KS",2692810
993,38.367963,-97.62827,2005,0,"KS",2741771
994,28.20743,-82.668671,1990,0,"FL",13033307
994,28.20743,-82.668671,1995,0,"FL",14537875
994,28.20743,-82.668671,2000,0,"FL",16047118
994,28.20743,-82.668671,2005,0,"FL",17783868
995,39.5021673,-86.0684493,1990,0,"IN",5557798
995,39.5021673,-86.0684493,1995,0,"IN",5851459
995,39.5021673,-86.0684493,2000,0,"IN",6091649
995,39.5021673,-86.0684493,2005,0,"IN",6253120
996,39.291063,-86.784412,1990,0,"IN",5557798
996,39.291063,-86.784412,1995,0,"IN",5851459
996,39.291063,-86.784412,2000,0,"IN",6091649
996,39.291063,-86.784412,2005,0,"IN",6253120
1000,25.9217438,-97.4788954,1990,0,"TX",17056755
1000,25.9217438,-97.4788954,1995,0,"TX",18958751
1000,25.9217438,-97.4788954,2000,0,"TX",20945963
1000,25.9217438,-97.4788954,2005,0,"TX",22801920
1001,38.232647,-104.664525,1990,0,"CO",3307618
1001,38.232647,-104.664525,1995,0,"CO",3826653
1001,38.232647,-104.664525,2000,0,"CO",4328070
1001,38.232647,-104.664525,2005,0,"CO",4660780
1002,39.0383857,-87.1309125,1990,0,"IN",5557798
1002,39.0383857,-87.1309125,1995,0,"IN",5851459
1002,39.0383857,-87.1309125,2000,0,"IN",6091649
1002,39.0383857,-87.1309125,2005,0,"IN",6253120
1003,41.6528724,-88.5638269,1990,0,"IL",11453316
1003,41.6528724,-88.5638269,1995,0,"IL",12008437
1003,41.6528724,-88.5638269,2000,0,"IL",12437645
1003,41.6528724,-88.5638269,2005,0,"IL",12674452
1004,27.46082,-82.615246,1990,0,"FL",13033307
1004,27.46082,-82.615246,1995,0,"FL",14537875
1004,27.46082,-82.615246,2000,0,"FL",16047118
1004,27.46082,-82.615246,2005,0,"FL",17783868
1005,42.713541,-92.473973,1990,0,"IA",2781018
1005,42.713541,-92.473973,1995,0,"IA",2867373
1005,42.713541,-92.473973,2000,0,"IA",2928184
1005,42.713541,-92.473973,2005,0,"IA",2949450
1006,31.9622196,-83.7625613,1990,0,"GA",6512602
1006,31.9622196,-83.7625613,1995,0,"GA",7328413
1006,31.9622196,-83.7625613,2000,0,"GA",8230161
1006,31.9622196,-83.7625613,2005,0,"GA",9097428
1007,43.3129113,-90.3488459,1990,0,"WI",4904562
1007,43.3129113,-90.3488459,1995,0,"WI",5184836
1007,43.3129113,-90.3488459,2000,0,"WI",5374254
1007,43.3129113,-90.3488459,2005,0,"WI",5541443
1008,40.521676,-105.079438,1990,0,"CO",3307618
1008,40.521676,-105.079438,1995,0,"CO",3826653
1008,40.521676,-105.079438,2000,0,"CO",4328070
1008,40.521676,-105.079438,2005,0,"CO",4660780
1009,37.120127,-93.4691674,1990,0,"MO",5128880
1009,37.120127,-93.4691674,1995,0,"MO",5378247
1009,37.120127,-93.4691674,2000,0,"MO",5606065
1009,37.120127,-93.4691674,2005,0,"MO",5806639
1010,34.913829,-79.7385709,1990,0,"NC",6664016
1010,34.913829,-79.7385709,1995,0,"NC",7344674
1010,34.913829,-79.7385709,2000,0,"NC",8079383
1010,34.913829,-79.7385709,2005,0,"NC",8669452
